Rang,Uporabniško ime,Elo,Id,Država,Država številka,Skupaj igre,Skupaj zmage,Skupaj remiji,Skupaj porazi,Naslov,Strela elo,Metek elo,Ime,Priimek,Opazovalci,Datum,Spol,Celina,Obratna vrednost prebivalstva,Leto
1213,CrestfallenXD,2405,236433221,Canada,3,677,384,42,251,Nima naslova,2379,2381,,,353,2023-01-31,Ni znano,North America,2.4068091325987446e-08,2023
1214,borets77,2405,22044244,Saint Kitts/Nevis,118,350,216,39,95,Nima naslova,2409,2203,v,k,2074,2015-04-19,Ni znano,North America,1.9485580670303975e-05,2015
1215,Weihnachtsmelone,2405,206583505,Germany,54,1887,962,155,770,Nima naslova,2249,2271,,,173,2022-11-15,Ni znano,Europe,1.1964994255606259e-08,2022
1216,Julian123412345,2405,201284101,Germany,54,882,359,149,374,Nima naslova,2403,2305,Julian,Eßer,280,2022-10-11,Moški,Europe,1.1964994255606259e-08,2022
1217,ProGamerRichYT,2405,197797037,Austria,18,800,513,54,233,Nima naslova,2567,2620,Skibidi,R.,1372,2022-09-18,Ni znano,Europe,1.0868465375949455e-07,2022
1218,JGauci,2405,18270048,Malta,93,21292,7757,2760,10775,CM,2303,2211,CM Joseph,Gauci,10506,2014-07-29,Ni znano,Europe,1.74140182847192e-06,2014
1219,Raptor5555555555,2405,152807123,Croatia,36,430,219,35,176,Nima naslova,2505,2601,B.,Š,446,2021-08-29,Ni znano,Europe,2.5908843361869336e-07,2021
1220,HallofDarkness,2405,147989565,European Union,351,49,38,2,9,Nima naslova,2406,2215,,,35,2021-07-15,Ni znano,Ni podatka,Ni znano,2021
1221,Tarekooo,2405,11105246,Egypt,45,3655,2039,251,1365,Nima naslova,2200,2103,tarek,abdo,1079,2013-03-10,Ni znano,Africa,9.322161406512797e-09,2013
1222,dhanush2001,2404,91744616,India,69,1105,699,59,347,Nima naslova,2403,2403,dhanush,nagula,635,2020-09-22,Ni znano,Asia,7.054713536302145e-10,2020
